name,lat,lon
Ленинградское шоссе,55.883557,37.442673
Дмитровское шоссе,55.909125,37.543857
Алтуфьевское шоссе,55.911766,37.589737
Осташковское шоссе,55.897559,37.672265
Ярославское шоссе,55.884726,37.730202
Шоссе Энтузиастов,55.777991,37.847501
Щёлковское шоссе,55.815045,37.843885
Новогиреевское шоссе,55.656597,37.842274
Носовихинское шоссе,55.744330,37.848397
Рязанский проспект,55.706759,37.839320
Волгоградский проспект,55.684699,37.836317
Каширское шоссе,55.588974,37.732258
М-4 (Дон),55.572065,37.691436
Варшавское шоссе,55.574298,37.596880
Калужское шоссе,55.609727,37.489374
Боровское шоссе,55.661353,37.427611
Киевское шоссе,55.636883,37.455057
Можайское шоссе,55.712792,37.379834
Рублёво-Успенское шоссе,55.767707,37.369345
Новорижское шоссе,55.791096,37.366251
М-11 (Нева),55.889440,37.484019
Волоколамское шоссе,55.833053,37.389193
Пятницкое шоссе,55.833387,37.390301
Сколковское шоссе,55.700933,37.397567
